"iteration steps","retained information l1 average"
"0","0.5573684439723345"
"1","0.5144093072300657"
"2","0.46199739069313656"
"3","0.4113760396313898"
"4","0.3655459116049918"
"5","0.3251101217784033"
"6","0.2904115493865749"
"7","0.26145906371491157"
"8","0.23830553173154684"
"9","0.22070327195602288"
"10","0.20795311183963155"
"11","0.198165779527802"
"12","0.18961467019360362"
"13","0.18178856129249785"
"14","0.17447361614300072"
"15","0.16760697785422712"
"16","0.16129556667586345"
"17","0.15547969084681132"
"18","0.1501258817811632"
"19","0.14526211023225838"
"20","0.14086085176589216"
"21","0.13685313115704556"
"22","0.1330951033647848"
"23","0.1296274156895737"
"24","0.126425218413946"
"25","0.12340978591461595"
"26","0.12057512891798718"
"27","0.11794627220177885"
"28","0.11542824815959822"
"29","0.11307019022043786"
"30","0.11089479404169339"
"31","0.10887300243978025"
"32","0.10692564348818116"
"33","0.10514231393461491"
"34","0.10349269630169923"
"35","0.1019156160599223"
"36","0.10041254137705687"
"37","0.09896128102114245"
"38","0.09758549264169619"
"39","0.09628357870471278"
"40","0.09503020385753135"
"41","0.09381996886731352"
"42","0.09267640884853726"
"43","0.09163370003919641"
"44","0.09060587852071153"
"45","0.0896413847010419"
"46","0.08877224166572696"
"47","0.08790459360926871"
"48","0.0870417257304883"
"49","0.08617526923370167"
"50","0.0853526266854908"
"51","0.08459408225748652"
"52","0.08389591642409834"
"53","0.08325542684874855"
"54","0.08266271618095207"
"55","0.08209381680746114"
"56","0.08153204401588669"
"57","0.08093259591996155"
"58","0.08036123142157259"
"59","0.07978522291268471"
"60","0.07928155843228124"
"61","0.07880980023427227"
"62","0.0783390302367827"
"63","0.07789327579815425"
"64","0.07744335639426662"
"65","0.07700253237333617"
"66","0.07659143846624387"
"67","0.07619486269871405"
"68","0.07580978886172986"
"69","0.07546544969802678"
"70","0.07511445489092347"
"71","0.07478535178521245"
"72","0.07448905079904394"
"73","0.07420061974651682"
"74","0.07390389716666873"
"75","0.07360467035360949"
"76","0.07329193255858935"
"77","0.07299162424053846"
"78","0.07274048225377068"
"79","0.07246737217379884"
"80","0.07216339214036264"
"81","0.07187288037664408"
"82","0.07160547860467771"
"83","0.07135123384127438"
"84","0.07109473728706674"
"85","0.0708138763989355"
"86","0.0705707960919914"
"87","0.07034324585364897"
"88","0.07006849614855404"
"89","0.06983838079272468"
"90","0.06960205665507015"
"91","0.06934209149246015"
"92","0.06913167708193291"
"93","0.06896959950230218"
"94","0.06882522094185232"
"95","0.06867466923004302"
"96","0.06851709403095024"
"97","0.0683510593599879"
"98","0.06817121813808835"
"99","0.06804168521533227"
"100","0.06788258515293304"
"101","0.06770581968495194"
"102","0.06753739678393557"
"103","0.06739611166528649"
"104","0.06724901602300964"
"105","0.06713031761633265"
"106","0.06700637810057229"
"107","0.06686929977666622"
"108","0.06677991079194283"
"109","0.06665315387810897"
"110","0.06653360678578848"
"111","0.0664241367737055"
"112","0.06627088634280469"
"113","0.06617761800719245"
"114","0.06604302593671138"
"115","0.06593795622929088"
"116","0.06580058375644074"
"117","0.06567136907850006"
"118","0.065572362993718"
"119","0.06546673576040503"
"120","0.06534977696756623"
"121","0.06527566563850308"
"122","0.06517781269826262"
"123","0.06506857308073856"
"124","0.06492995999377216"
"125","0.06477996186588436"
"126","0.06466567557203094"
"127","0.06456790194335389"
"128","0.0644840902171645"
"129","0.06440349238613778"
"130","0.06431879899081783"
"131","0.06423506352144145"
"132","0.06415696423297808"
"133","0.06406234976542442"
"134","0.06395087370168769"
"135","0.06384049710864576"
"136","0.06373882478007646"
"137","0.06363038296161903"
"138","0.0635395720010751"
"139","0.06346317909553705"
"140","0.06340804616381066"
"141","0.06335163627445049"
"142","0.06328343178383788"
"143","0.06323624799086319"
"144","0.06318706408395179"
"145","0.06311712632279366"
"146","0.06305380240782103"
"147","0.0629808693939618"
"148","0.06291474055831736"
"149","0.06281829896187846"
"150","0.06272461477397402"
"151","0.06266916279762495"
"152","0.06257319182402744"
"153","0.062474613694520405"
"154","0.06238354399462322"
"155","0.062294745417504974"
"156","0.062222435229700654"
"157","0.06216992792029966"
"158","0.06211981314555046"
"159","0.06206179362322303"
"160","0.06197281935568315"
"161","0.06191176091384926"
"162","0.061871280387971885"
"163","0.06181734249619008"
"164","0.06180379636474872"
"165","0.06179518165263018"
"166","0.06174392603723111"
"167","0.06168132344006624"
"168","0.06162091157537184"
"169","0.061544741037998396"
"170","0.0614723234334536"
"171","0.06139179923337199"
"172","0.061319489643532635"
"173","0.061276794509872445"
"174","0.061177230269481554"
"175","0.061106355784540434"
"176","0.06108895180289794"
"177","0.0610502982810756"
"178","0.061002035045615924"
"179","0.06090671601366691"
"180","0.06085387673422431"
"181","0.06076607281202704"
"182","0.060697861530683433"
"183","0.06062269911757456"
"184","0.06057120352381776"
"185","0.060514112585146995"
"186","0.06046498741470736"
"187","0.06046686702783707"
"188","0.060475129620288"
"189","0.060488422596113735"
"190","0.060485619220962884"
"191","0.060442901194174566"
"192","0.06040006113022062"
"193","0.060361390958325566"
"194","0.06031553070836151"
"195","0.06025030060964333"
"196","0.06018316474587376"
"197","0.06012363813531535"
"198","0.06009853441268663"
"199","0.06003184306953585"
"200","0.05998201081611596"
"201","0.05995387488597402"
"202","0.059939134827400174"
"203","0.059947575407747394"
"204","0.05993348005839809"
"205","0.059921464505150644"
"206","0.05990307361051145"
"207","0.05987592228740924"
"208","0.0598366457174506"
"209","0.05977024322263182"
"210","0.0597214480847598"
"211","0.059696136267764446"
"212","0.05962974293973351"
"213","0.05958409141232043"
"214","0.05951547322614557"
"215","0.05946975565203079"
"216","0.05942912983601046"
"217","0.05939325370451488"
"218","0.05938958319655134"
"219","0.05941717551698211"
"220","0.05941848034638151"
"221","0.05939594023984677"
"222","0.059324205894258145"
"223","0.05923221785796486"
"224","0.05917045448839494"
"225","0.05914201528970832"
"226","0.059112418388390126"
"227","0.05908575542292751"
"228","0.05908026639492097"
"229","0.05905203624057238"
"230","0.05900546771466218"
"231","0.058966419793612924"
"232","0.05895053542111581"
"233","0.05894279172835942"
"234","0.05890092967282548"
"235","0.058874262070436445"
"236","0.05882275545643902"
"237","0.05875022497305363"
"238","0.05870314608768904"
"239","0.05868490489943824"
"240","0.05864987012928567"
"241","0.05866481776530998"
"242","0.05867568285563842"
"243","0.05868509072885832"
"244","0.058667593656132395"
"245","0.05862803435254332"
"246","0.05858003947970681"
"247","0.058559311484527025"
"248","0.05852765747561137"
"249","0.05851270512703216"
"250","0.058490683807617475"
"251","0.058445866375561775"
"252","0.058410068605449166"
"253","0.058381159547240505"
"254","0.0583460885369043"
"255","0.05831899991346176"
"256","0.058293713517732715"
"257","0.058297090412257765"
"258","0.05830318364987353"
"259","0.058303411611198626"
"260","0.05828799362339173"
"261","0.05826501902128209"
"262","0.0582555824791142"
"263","0.05823750554761658"
"264","0.05824075352877707"
"265","0.05825959464142293"
"266","0.05824230274408819"
"267","0.058209258490395606"
"268","0.05818729106511868"
"269","0.05816944347618153"
"270","0.05817089144863595"
"271","0.058171413559668275"
"272","0.058161699314294414"
"273","0.058115145741559196"
"274","0.05809072903539419"
"275","0.05805400178600641"
"276","0.05801662836031033"
"277","0.05797564243405345"
"278","0.0579569393575627"
"279","0.057942258146106485"
"280","0.05789914670638748"
"281","0.05787983642192783"
"282","0.05783512617948782"
"283","0.05780326591494226"
"284","0.057782654244741105"
"285","0.05775885859254061"
"286","0.057746221857941545"
"287","0.05774435586183479"
"288","0.05768331583295026"
"289","0.0576541087864124"
"290","0.057605197463681784"
"291","0.0575774391792429"
"292","0.05752416018111737"
"293","0.05748710094975887"
"294","0.05742602029986716"
"295","0.05737475856854861"
"296","0.05735283622905352"
"297","0.05735385735008328"
"298","0.057368393419388986"
"299","0.057383310273414596"