"iteration steps","retained probability average"
"0","0.5995719168151263"
"1","1.2239810488928924"
"2","0.8264862390959897"
"3","0.7503989123434877"
"4","0.7982580089436233"
"5","0.8247683165328054"
"6","0.8258791298573087"
"7","0.8160720027558563"
"8","0.8097365469936558"
"9","0.8272428176639333"
"10","0.842074953474541"
"11","0.8719976007592195"
"12","0.8847669698504178"
"13","0.881186729815603"
"14","0.8778097465655155"
"15","0.8743767323939319"
"16","0.8730505312084861"
"17","0.8683370966627408"
"18","0.876959060802481"
"19","0.8733122277462789"
"20","0.8761815068087199"
"21","0.8808231094740259"
"22","0.8765359681253121"
"23","0.8785730245555787"
"24","0.8802452047618281"
"25","0.8829743415123922"
"26","0.876711664465327"
"27","0.8885497300687002"
"28","0.8821232363800027"
"29","0.8800715576622824"
"30","0.8830805308604686"
"31","0.8872885425873501"
"32","0.882025354302932"
"33","0.8845328302690759"
"34","0.8826362099947109"
"35","0.885241595629148"
"36","0.8819327964986514"
"37","0.8884634763256145"
"38","0.8843432592806384"
"39","0.889210050734524"
"40","0.8878291282904575"
"41","0.8886112785617334"
"42","0.8835877924203851"
"43","0.8827247907309065"
"44","0.8842731249365279"
"45","0.8856679132164081"
"46","0.8916534798188804"
"47","0.8913156619931543"
"48","0.8912932547661258"
"49","0.8874253606292041"
"50","0.8817103733491549"
"51","0.8864414524812765"
"52","0.8836440967917042"
"53","0.879873452300757"
"54","0.8919097188501691"
"55","0.8943125793632171"
"56","0.8945686640538625"
"57","0.8970660718667568"
"58","0.8866303344007774"
"59","0.8831275650693533"
"60","0.8841390214321545"
"61","0.8868665075301687"
"62","0.8874508387987043"
"63","0.8946392726088707"
"64","0.8955413216714188"
"65","0.890309470055905"
"66","0.8849670364640151"
"67","0.8892887150242823"
"68","0.8847927075525295"
"69","0.8908537014394078"
"70","0.8840395015097201"
"71","0.8868040711425674"
"72","0.8925102625549843"
"73","0.8944371181645984"
"74","0.8919177839178574"
"75","0.8904672612635586"
"76","0.8878126040024217"
"77","0.8882489430297937"
"78","0.888829474203907"
"79","0.8960356084095038"
"80","0.8912294300560243"
"81","0.8895408176356432"
"82","0.8933582331389789"
"83","0.8907801603839834"
"84","0.8943283744196888"
"85","0.8891732359109664"
"86","0.8963245759479541"
"87","0.8914493190161956"
"88","0.8939611608900159"
"89","0.8908341313120327"
"90","0.8926551767012206"
"91","0.8838456087839768"
"92","0.8826425909133941"
"93","0.8830771261603477"
"94","0.8919571079367743"
"95","0.8868630817186458"
"96","0.8952284075684074"
"97","0.8930042900458757"
"98","0.8871569818313001"
"99","0.8908949645491885"
"100","0.8890573874385045"
"101","0.8887656545200716"
"102","0.888877609734569"
"103","0.8943407621667411"
"104","0.8961774878617689"
"105","0.8935766156414066"
"106","0.8893663523525466"
"107","0.8881143625479526"
"108","0.8893934521732481"
"109","0.8969196290067303"
"110","0.892709062945798"
"111","0.8923295841359904"
"112","0.888011343365557"
"113","0.8936008636947281"
"114","0.8936573768636081"
"115","0.8947470207104871"
"116","0.890374273009751"
"117","0.8854866787100109"
"118","0.8870681903523837"
"119","0.8922499507476387"
"120","0.8871518567368912"
"121","0.8917890595714489"
"122","0.8924455067933122"
"123","0.897929702377387"
"124","0.8950810999228943"
"125","0.8895890748698694"
"126","0.8867520561103084"
"127","0.8947097184406648"
"128","0.8908052537226867"
"129","0.8950064440533934"
"130","0.8935261255901059"
"131","0.892402379290932"
"132","0.8952686271965012"
"133","0.8932813511246531"
"134","0.8945887931767283"
"135","0.8931137799933022"
"136","0.8939677971961537"
"137","0.8896704770271572"
"138","0.8859459208243934"
"139","0.8871466346011766"
"140","0.8891117572536714"
"141","0.889066930941768"
"142","0.8904250989423054"
"143","0.8956253181618231"
"144","0.8931794515918664"
"145","0.8942952663387986"
"146","0.894074229643129"
"147","0.8910341409861358"
"148","0.8894085612225572"
"149","0.8907693899040386"
"150","0.8928864214950117"
"151","0.894981755904144"
"152","0.8956733243010367"
"153","0.8887600773236991"
"154","0.89303898544607"
"155","0.8970978645602808"
"156","0.8946324784246826"
"157","0.8974753881651814"
"158","0.8967799998635182"
"159","0.8920633193929898"
"160","0.8888629894690093"
"161","0.8907964483037285"
"162","0.8915475824409005"
"163","0.8927074628440205"
"164","0.8909390018476478"
"165","0.8912263929832843"
"166","0.8932769841858699"
"167","0.893626044876095"
"168","0.8931925798372394"
"169","0.8950275638260282"
"170","0.8950078618429561"
"171","0.896460937832726"
"172","0.8906968500403963"
"173","0.8940365659985473"
"174","0.8928033582709959"
"175","0.8942439906743712"
"176","0.889489540344066"
"177","0.8895133841658571"
"178","0.8925256549037404"
"179","0.8944740550926618"
"180","0.896443508182856"
"181","0.8914198372577848"
"182","0.899110781967538"
"183","0.8949434176354298"
"184","0.8985628084836135"
"185","0.892705090979991"
"186","0.8865432419797399"
"187","0.8906726978744264"
"188","0.8919173033889128"
"189","0.8951015483896335"
"190","0.8981703007169272"
"191","0.8979683719419008"
"192","0.8932301676709976"
"193","0.8921632936668066"
"194","0.8923102173178941"
"195","0.8937243156577824"
"196","0.8886971796685466"
"197","0.8879656067527467"
"198","0.8903536925748267"
"199","0.8919209233543443"
"200","0.8964318035988126"
"201","0.8948726583815733"
"202","0.8995551306838825"
"203","0.897169529598792"
"204","0.8909493148211058"
"205","0.8900032357783566"
"206","0.8946544190009881"
"207","0.8944345506869212"
"208","0.9005216509923811"
"209","0.891915487539256"
"210","0.8861257158558238"
"211","0.8964516709036107"
"212","0.8942847825326062"
"213","0.8924084374312151"
"214","0.8903687143934221"
"215","0.8914330249794293"
"216","0.8908161752421838"
"217","0.8959668087215323"
"218","0.8958854417747789"
"219","0.8941636709494123"
"220","0.8976493875985161"
"221","0.8961160102845752"
"222","0.895217717686417"
"223","0.8977243088040777"
"224","0.8930955077162562"
"225","0.8945532981700489"
"226","0.8895608538011583"
"227","0.8932348733839317"
"228","0.8920171619662578"
"229","0.8868202886107028"
"230","0.894821925527096"
"231","0.895102890618491"
"232","0.8980282477105357"
"233","0.8954951618293598"
"234","0.8936984424888215"
"235","0.8945796812958142"
"236","0.8962230461942708"
"237","0.8933168548735156"
"238","0.8916998642446633"
"239","0.8947883520861178"
"240","0.8883134730713246"
"241","0.8903876662736184"
"242","0.8899742147874986"
"243","0.8938022254227053"
"244","0.8959899823491578"
"245","0.8982364829228027"
"246","0.896727813767142"
"247","0.897233226809025"
"248","0.8948208865474954"
"249","0.8896119245682239"
"250","0.8926520963240401"
"251","0.8929133156781627"
"252","0.8884063562256779"
"253","0.8893987326614479"
"254","0.897927267242494"
"255","0.8908317679726533"
"256","0.8953641403965121"
"257","0.8928331362752578"
"258","0.8907227039944482"
"259","0.892477016585417"
"260","0.8954376819292811"
"261","0.9006241040339918"
"262","0.8945629457927061"
"263","0.8914407085178718"
"264","0.891855741070769"
"265","0.8974517415538757"
"266","0.9004883526897247"
"267","0.8943003518718797"
"268","0.8944786308640359"
"269","0.8920432783745091"
"270","0.8918937955167167"
"271","0.8950368231419598"
"272","0.8945896994690921"
"273","0.8967145276708216"
"274","0.8977639022668736"
"275","0.8959595971377312"
"276","0.8986164900271396"
"277","0.89341659662245"
"278","0.895186818198621"
"279","0.8958985626491122"
"280","0.8884606073643335"
"281","0.8952088153746663"
"282","0.8872498115391536"
"283","0.8979881158068274"
"284","0.8953089107503274"
"285","0.891418818588907"
"286","0.8872732719640808"
"287","0.891662535715037"
"288","0.895194690420365"
"289","0.895000581016755"
"290","0.8962310562014209"
"291","0.89752003334037"
"292","0.8941236403247312"
"293","0.8939781511913006"
"294","0.8980703284122974"
"295","0.8930671522525044"
"296","0.8953032536398968"
"297","0.8948391731109987"
"298","0.8890721388444872"
"299","0.8945147940102542"